district_name,solar_mean,wind_mean,pop_mean,dist_roads_mean,dist_trans_mean,dist_sub_mean,constraint_pct
Anugul,4.140952,3.376074,218.1405,8.172328,23.343678,47.179859,64.795
Balangir,4.248501,3.799384,309.7415,3.508558,28.146231,42.247206,83.7531
Baleshwar,3.966452,4.58654,668.0659,3.480018,32.966496,23.95439,88.7577
Bargarh,4.173172,3.739203,269.946,2.315891,47.646791,40.371879,75.78859999999999
Bauda,4.186146,3.728199,163.5083,6.966328,54.61495,66.358579,61.9073
Bhadrak,4.014996,4.724855,663.1428,4.839187,24.820803,25.39312,92.5751
Cuttack,4.066014,4.049509,839.5829,3.32102,21.452773,25.294938,66.8872
Debagarh,4.169799,3.154046,127.8597,7.092395,49.856928,51.271703,62.19050000000001
Dhenkanal,4.091409,3.559045,312.3118,5.604878,23.747462,33.058436,79.05250000000001
Gajapati,4.034593,3.649992,159.9178,4.21021,36.943008,51.214809,35.0953
Ganjam,4.043575,3.620326,455.7655,4.047011,24.856921,56.201382,61.3062
Jagatsinghapur,3.923456,5.390178,743.7886,2.109951,44.546323,21.835512,78.1444
Jajapur,4.073881,4.260249,697.8092,3.009321,20.322095,20.379563,78.21289999999999
Jharsuguda,4.208381,3.800127,318.1211,5.538729,14.114943,33.743927,60.5589
Kalahandi,4.232464,4.019314,232.1272,6.062746,36.290365,49.78607,66.8443
Kandhamal,4.173905,3.932516,102.5074,7.896722,94.74948,84.702334,45.3012
Kendrapara,3.857552,5.323341,685.7109,3.436185,39.240904,30.543407,67.14139999999999
Kendujhar,4.136871,3.414538,251.6622,10.546763,37.303352,48.031896,80.7497
Khordha,4.077709,4.46188,790.0847,4.309464,12.901026,32.453811,78.3129
Koraput,4.144664,4.464236,188.8141,2.409343,25.490722,42.001349,56.8599
Malkangiri,4.096511,3.306597,130.8718,2.628783,46.956991,55.411158,58.4928
Mayurbhanj,4.039164,3.567745,279.798,8.620747,46.732904,66.711138,79.4114
Nabarangapur,4.23172,4.743176,258.3994,3.694955,58.811298,61.789201,90.1816
Nayagarh,4.074102,3.491551,258.4157,11.652701,37.43037,57.447366,61.5249
Nuapada,4.107125,4.121843,180.1838,4.128777,57.091668,71.274655,71.77510000000001
Puri,3.989561,5.429306,649.3174,3.900117,38.979704,28.203523,54.644000000000005
Rayagada,4.121866,3.717451,152.7104,3.266948,29.356438,53.712824,46.9403
Sambalpur,4.205384,3.50059,190.4985,5.674445,41.70561,54.913026,72.3355
Subarnapur,4.239168,3.836552,280.2412,4.934525,26.992706,47.028262,82.15440000000001
Sundargarh,4.160794,3.355764,239.6783,8.278322,39.442901,46.326711,74.8719
