block_name,solar_mean,wind_mean,dist_roads_mean,dist_trans_mean,dist_sub_mean,constraint_pct,pop_mean
Agalpur,4.238735,3.745112,3.938571,31.833622,49.417115,79.9918,297.9296
Ambabhana,4.106386,3.626894,2.611814,66.250382,72.661689,41.4958,140.0581
Anandpur,4.093544,3.129247,13.675535,63.643637,67.756676,87.1788,331.3072
Anugul,4.077689,3.569442,9.957462,34.472504,65.287661,38.7173,182.2117
Aska,4.11164,3.276122,2.512391,5.902977,20.723141,69.3916,750.7188
Astarang,3.375824,5.921978,0.865803,108.247852,18.235214,57.1996,672.873
Atabira,4.232043,3.771955,2.558009,26.296504,29.738735,64.4914,218.6679
Athagarh,4.060674,3.717531,2.730041,10.938011,19.972813,84.1785,450.3245
Atthamallik,4.16228,3.604733,5.987917,28.592577,62.542424,59.4808,134.5121
Aul,4.041685,5.194862,3.702805,46.265072,35.075398,64.95349999999999,803.1529
Badagaon,4.257278,3.558765,5.676428,27.138268,42.127861,92.0727,184.8215
Badamba,4.083613,3.313387,6.631088,35.824154,36.281688,56.50730000000001,454.7764
Badasahi,4.028666,4.126961,3.580878,12.154968,46.34699,94.7513,430.1637
Bahalda,4.004985,3.438157,2.758963,51.912834,64.700361,83.8718,358.781
Bahanaga,3.639414,4.762,3.253276,25.185772,30.796605,99.2297,651.081
Baleswar,3.773819,5.265023,2.462905,25.180579,33.004189,84.0127,932.6779
Balianta,4.053441,4.853999,0.342881,8.420727,15.922435,68.892,870.4104
Baliapal,3.767348,5.33405,2.823857,62.52705,23.323394,83.1347,785.2745
Baliguda,4.22385,3.747108,8.873561,152.0089,99.774326,47.6609,106.9492
Balikuda,3.765255,5.519689,2.747003,83.21507,26.625536,77.5822,650.8395
Balipatana,4.054898,4.966099,0.478034,27.016704,17.028732,85.5971,874.7577
Balisankara,4.071966,3.449128,5.524234,86.199638,97.321029,87.2054,180.583
Banapur,4.071297,3.554159,14.986198,20.675393,55.384911,63.734500000000004,300.4546
Banarpal,4.098399,3.454737,1.992091,3.654721,13.978534,81.1345,681.8274
Bandhugaon,3.650125,3.638839,2.830853,62.329479,74.669628,47.4083,135.6461
Baneigarh,4.164945,3.241105,4.275189,42.716649,33.450069,74.746,191.0468
Bangiriposi,4.058017,3.022711,9.855651,26.276378,93.427179,60.618399999999994,164.1569
Bangomunda,4.250928,3.662953,4.710662,16.087976,40.874733,76.02250000000001,418.9276
Banki,4.082497,4.048206,4.078443,25.179981,37.647014,59.025099999999995,579.7977
Banspal,4.189077,3.586066,13.425589,36.869362,36.280939,59.4173,113.2451
Baranga,4.053566,4.616825,0.68738,5.356253,13.993922,59.6911,882.5884
Barchana,4.050331,4.581702,2.729141,12.243828,27.31613,81.9986,728.8584
Bargarh,4.242232,3.690784,1.822502,13.677698,21.109111,79.6516,634.3889
Bari,4.053331,4.786947,2.514025,36.154845,24.361464,57.69370000000001,744.0479
Baripada,4.036901,4.163184,2.721017,12.192277,30.899781,88.7081,698.7706
Barkot,4.176768,3.080704,9.792656,31.38469,44.012159,54.614200000000004,134.285
Barpali,4.248262,3.83075,2.269527,15.556358,19.725749,80.6291,473.6667
Basta,4.08065,4.824222,4.034457,15.238635,22.963135,94.6759,647.2261
Basudevpur,3.726687,4.984943,4.869678,42.834949,34.940293,94.1123,590.5481
Begunia,4.082521,4.440034,2.91609,7.821099,24.943952,94.0874,466.6285
Belapada,4.258995,3.790062,2.827148,44.462557,53.299582,94.5956,244.8438
Bellaguntha,4.109771,3.077528,2.880437,9.075168,26.924812,68.1325,419.134
Betanati,4.070387,4.484924,3.432764,10.618173,51.603846,99.241,552.9107
Bhadrak,4.085235,4.186214,3.471108,7.241606,15.536313,94.8668,1065.6688
Bhandaripokhari,4.091286,4.332128,3.47081,8.958279,28.766965,96.4922,448.4803
Bhanjanagar,4.05655,2.528195,5.767649,19.198537,66.123121,57.0027,184.254
Bhapur,4.085366,3.324805,4.110074,44.055609,27.411962,72.12349999999999,489.9824
Bhatali,4.220281,3.59208,1.657576,53.511409,29.141451,88.0359,183.9228
Bhawanipatana,4.232811,3.925109,6.188907,27.127675,37.928893,66.7328,307.1802
Bheden,4.240808,3.777585,1.320057,54.785207,22.943746,73.5224,355.5078
Bhogarai,3.4823,5.075373,2.730337,79.489716,25.599106,87.0034,932.6745
Bhuban,4.104347,3.396867,3.233614,9.333248,32.078929,79.2493,455.8685
Bhubaneswar,4.051669,4.620454,0.44041,6.846213,12.065829,79.8534,2302.3019
Bijatala,3.983715,3.287904,6.482192,22.834124,50.974536,71.056,215.2468
Bijepur,4.242591,3.793502,1.99318,18.403844,35.440628,92.0949,335.5095
Binika,4.245365,3.809702,5.525998,48.66727,48.145457,84.9053,351.1941
Binjharpur,4.055202,4.859049,3.909514,56.64988,18.604122,83.73899999999999,1189.6382
Biridi,4.054114,4.901198,1.885969,10.506373,38.746641,77.8245,734.0873
Birmaharajpur,4.233295,3.809471,4.618531,14.457244,76.303906,79.5235,224.112
Bisamcuttack,4.152344,3.561657,1.958727,18.607451,65.753032,55.6203,145.6525
Bisoi,4.137028,3.351617,4.11204,8.366608,78.59326,77.9083,253.9357
Bisra,3.897057,3.214487,4.64685,7.50293,19.335477,69.8603,364.6477
Boden,4.142682,4.168682,3.842333,66.273581,73.558753,72.1922,123.7126
Boipariguda,4.196514,4.1063,2.530924,14.50142,35.946595,73.47359999999999,117.4977
Bolagarh,4.084254,3.987377,4.146909,12.277349,41.536298,89.6866,492.129
Bolangir,4.243611,3.954151,2.662406,9.955619,30.139247,82.449,541.4855
Bonth,4.095509,3.966445,3.718621,26.602823,24.457518,100.0,517.7132
Borigumma,4.352504,4.579379,1.355846,18.365171,35.788451,80.1267,288.3333
Boudh,4.21885,3.878634,9.618952,29.909489,64.882394,67.1328,190.9049
Brahmagiri,3.975894,5.410993,0.914592,52.132047,26.722172,74.3957,450.052
Buguda,4.103907,3.44898,3.687592,40.00732,82.902552,73.3461,371.9413
Chakapad,4.091678,3.607268,8.270564,28.102576,38.935364,46.9456,123.1427
Champua,4.037227,3.522573,4.125394,21.029986,34.626599,99.1387,363.8105
Chandahandi,3.636866,4.0371,4.83409,121.071882,85.678952,92.4265,303.2862
Chandbali,3.763064,5.382518,5.144877,26.144,28.239814,84.8625,538.0796
Chandrapur,4.15344,2.955097,3.892217,72.681319,51.031263,42.9326,69.5211
Chhatrapur,3.931141,5.488499,1.219861,5.805908,18.00827,55.5276,935.0692
Chhendipada,4.138825,3.444739,4.798964,12.544711,41.709224,85.89909999999999,238.1244
Chiketi,3.74854,4.154696,2.138457,41.978325,46.820836,62.3162,520.6306
Chilika,4.135904,4.848356,4.425323,11.843973,30.245397,45.955400000000004,900.418
Chitrakonda,3.958887,3.293562,2.782946,46.285529,72.026625,24.6762,65.533
Cuttack Sadar,4.059111,4.639534,0.938888,7.14456,17.015503,40.4899,2685.6191
Dabugaon,4.35797,4.418573,3.976209,16.964701,34.453845,96.0274,205.8085
Dampada,4.066676,4.244705,3.305404,21.690206,29.675241,72.7686,444.5339
Danagadi,4.081759,3.812524,3.95359,7.301504,12.843972,81.9265,419.4458
Daringbadi,4.159532,4.272956,4.104126,128.001215,119.126069,39.668,87.9725
Dasamantapur,4.278608,4.754337,2.736465,33.470449,57.136242,43.9824,110.5139
Dasapalla,4.069088,3.113619,16.546711,48.479597,59.332358,52.507400000000004,122.4811
Dasarathpur,4.057833,4.720427,2.841779,59.373058,15.610283,99.9724,1052.8368
Delanga,4.06847,4.900119,0.619416,7.754526,21.010386,98.2011,736.4641
Deogan,4.248328,3.854709,2.796959,22.646789,30.913431,90.5988,255.0395
Derabishi,4.046383,4.850838,3.013234,14.551822,20.121139,88.51050000000001,806.9233
Dhamanagar,4.068083,4.488502,3.486017,35.63455,15.424536,94.8354,837.1203
Dhanakauda(Sadar),4.242582,3.753219,2.275612,9.031862,16.741478,43.5062,713.0902
Dharakote,4.073546,3.370865,5.117822,29.259079,61.517228,55.608900000000006,399.2306
Dharmagarh,4.19522,3.499607,3.514312,48.163146,34.68742,89.5763,368.6362
Dharmasala,4.068761,4.447199,2.123645,8.843764,23.693059,72.038,738.7211
Dhenkanal Sadar,4.062675,3.946762,3.194203,18.460654,32.776141,78.6339,555.9357
Digapahandi,4.061796,3.362619,3.00831,18.718276,39.03665,62.7804,424.0799
Dunguripali,4.249958,3.75749,6.236185,27.552631,31.02944,92.3213,460.9635
Erasama,3.670858,5.725815,2.939184,61.976678,23.451486,81.3867,481.153
Firingia,4.228818,4.144733,16.085752,96.512027,60.573277,49.7661,83.7717
G.Udayagiri,4.122437,4.388458,6.08049,29.996219,83.236529,43.905300000000004,177.6347
Gaisilat,4.232866,3.739039,1.852788,58.820734,64.475048,77.49080000000001,253.957
Gania,4.075619,3.107284,19.739457,56.308717,61.688451,14.407900000000001,84.6194
Ganjam,4.064812,5.349436,2.176574,8.406022,26.798825,57.7982,540.3068
Garadpur,4.045305,5.079366,2.245423,35.417463,24.477162,70.4257,875.4517
Ghasipura,4.098224,3.504619,6.120608,27.036178,31.713374,93.9153,391.8936
Ghatagaon,4.147772,3.503929,6.320597,49.567019,81.58976,92.5745,191.988
Golamunda,4.237524,3.814987,5.986412,46.430921,44.94653,69.95609999999999,255.1286
Gondia,4.071922,4.023937,5.60966,41.764458,29.851916,78.9072,293.8806
Gop,3.916445,5.571274,0.758302,26.242153,22.596436,85.6523,511.2711
Gopabandhunagar,4.048376,4.293581,2.086956,40.186589,24.002078,99.6067,438.7626
Govindapur,4.246063,3.387299,4.937934,44.780365,51.714569,85.5599,175.214
Gudari,4.140213,3.097076,2.2568,46.845523,61.978166,40.5402,102.2452
Gudvella,4.242643,4.067333,2.507624,33.523178,38.920882,77.1218,301.0219
Gumma,4.121675,3.160801,5.403929,39.2773,63.557572,36.424800000000005,298.3762
Gunupur,4.046109,3.081466,2.197613,28.953684,80.734382,50.5938,179.2381
Gurundia,4.17379,3.256616,18.837508,64.109583,65.476287,56.2163,70.4153
Harbhanga,4.123514,3.451799,6.97202,71.491123,60.383981,45.432,127.4999
Harichandanpur,4.114511,3.505253,13.012008,55.938354,69.31371,77.1108,143.2077
Hatadihi,4.082229,3.681385,5.968774,52.464131,25.192085,77.16499999999999,463.3401
Hemagiri,4.193624,3.606084,6.332264,38.601815,33.435726,88.8981,109.9668
Hindol,4.065437,3.755993,5.446096,26.805697,31.586775,75.66199999999999,244.3891
Hinjilicut,4.131386,4.373369,1.202485,14.835102,33.999385,71.40100000000001,825.0409
Jagannathprasad,4.088978,3.201478,9.629647,15.893173,91.3947,65.41329999999999,160.8376
Jagatsinghpur,4.05366,5.034358,1.63534,16.110403,16.471319,91.8411,1008.0838
Jaipatna,4.236326,3.982982,5.006439,15.318674,37.883802,76.8669,339.4385
Jajpur,4.079716,4.54383,2.609662,18.936252,18.974789,70.0836,1040.5065
Jaleswar,3.709187,4.698556,3.747256,31.897485,34.014325,86.42020000000001,683.2601
Jamankira,4.209988,3.65812,6.094147,83.488213,85.519452,73.598,123.1053
Jamuda,4.012751,3.634038,1.90764,40.459215,59.792183,79.28450000000001,359.0591
Jasipur,4.165453,3.45422,9.497219,39.820379,98.611381,60.6987,129.768
Jatani,4.063782,4.71985,0.956334,7.700078,15.92337,93.4431,681.1388
Jeypore,4.336145,4.299246,2.459601,5.594263,16.176735,78.6703,443.5731
Jharabandh,3.881002,3.782784,2.701407,105.759878,38.02161,76.5354,216.6362
Jharigaon,4.300933,4.87809,5.364302,59.51784,55.025749,84.17710000000001,205.8298
Jharsuguda,4.253388,3.870206,2.316469,3.430283,12.028712,72.8637,648.9197
Jhumpura,4.194915,3.520777,7.843185,21.368337,40.065754,88.5463,258.4442
Joda,3.972598,3.496221,5.669194,19.244252,27.6131,70.2086,374.3783
Jujumura,4.198508,3.646611,1.493864,26.434224,37.861676,81.8447,183.3506
Junagarh,4.261841,4.058657,6.245594,13.290848,41.345699,80.292,357.5501
K.Singpur,4.136251,3.717707,3.084189,29.963321,63.244303,49.3335,127.596
Kabisuryanagar,4.114835,3.725989,1.324663,14.969997,36.122813,61.690599999999996,815.196
Kakatpur,3.952258,5.556228,0.675192,73.123774,20.041145,78.9431,556.3128
Kalampur,4.237349,3.759139,3.071116,8.021814,39.362641,86.4062,369.9964
Kalimela,4.153817,3.308426,2.889877,61.457751,66.706158,67.1995,117.167
Kamakhyanagar,4.107057,3.472306,4.193004,20.464161,35.422965,82.459,308.2968
Kanas,4.098066,5.087283,0.75112,26.027883,32.676733,75.5864,761.5181
Kaniha,4.148976,3.193366,4.482622,11.249475,22.100449,73.16460000000001,209.492
Kankadahad,4.118078,2.999822,9.389009,30.344587,35.354407,77.9598,136.3883
Kantamala,4.233087,3.918025,3.793791,58.91504,74.78775,77.0193,187.1997
Kantapada,4.054466,4.910918,0.963117,24.465659,28.143789,72.54260000000001,801.9218
Kaptipada,4.044575,3.573821,7.75283,107.689433,44.22655,83.768,284.1348
Karanjia,4.179084,3.342648,18.682719,46.348252,56.046675,74.7744,160.0073
Karlamunda,4.25681,3.947347,3.134175,22.778639,58.484702,90.7783,233.9031
Kashipur,4.227272,5.163309,3.147444,23.083918,46.034832,41.0814,121.3578
Kasinagar,4.133435,3.366221,1.584831,9.286752,78.068708,34.631499999999996,246.4155
Kendrapada,4.041177,5.042516,2.606954,11.574109,19.394763,89.3261,1078.5618
Keonjhar Sadar,4.180281,3.568618,4.053479,19.225645,24.995769,90.6141,403.4714
Kesinga,4.262068,3.82419,4.131382,6.302033,29.908972,82.7537,282.3349
Khaira,4.081148,3.628004,3.832034,42.321286,13.050611,98.5566,560.7586
Khairput,4.241271,3.383813,2.060053,17.425069,48.540208,54.445,116.9287
Khajuripada,4.171048,4.151902,9.195307,24.292634,48.931105,40.3994,102.6362
Khallikote,4.132854,4.635451,2.596406,12.586885,25.568425,57.8615,543.879
Khandapara,4.072039,3.298759,6.849012,40.122021,35.98091,65.9392,270.4033
Khaprakhol,4.245925,3.712512,3.800782,48.344619,82.167009,79.9116,180.7145
Khariar,4.212633,3.742165,1.749258,21.410941,35.863748,54.7345,322.3379
Khunta,3.99064,3.558861,3.119973,51.913893,63.413758,92.5431,324.0601
Khurda,4.07492,4.781996,1.512599,8.595452,22.054678,80.4251,654.8874
Kirmira,4.274174,3.896929,4.638753,5.540173,28.366906,98.0827,212.8979
Kishorenagar,4.176308,3.402101,7.253646,12.62707,54.558578,76.4498,134.5557
Kodala(Beguniapada),4.098097,3.696279,2.763424,24.46599,61.160581,77.2069,482.112
Koira,4.027091,3.340898,9.093965,56.670928,44.500955,65.5739,118.5796
Kokasara,4.231553,4.072409,4.509446,51.951691,47.472176,80.8775,225.6972
Kolabira,4.257134,3.697282,2.116358,18.823436,31.491038,84.4341,272.1054
Koliane,3.917826,3.79534,3.875526,9.728563,38.675389,96.02380000000001,389.6653
Kolnara,4.075666,3.362015,1.4009,11.770761,43.634976,52.7061,209.9659
Komana,4.184194,4.185689,5.749944,39.596059,83.868254,75.856,137.7947
Koraput,4.305153,4.712526,2.08424,9.584288,26.111966,45.724199999999996,270.1797
Korei,4.100597,4.229399,2.363603,8.000241,19.676612,92.0536,715.2765
Korkunda,4.267972,3.259139,1.803633,14.689903,37.920976,56.1133,158.3962
Kosagumuda,4.30734,4.441327,3.389499,74.350273,50.004662,85.0939,259.7138
Kotagarh,4.16996,3.536179,4.782514,122.383165,95.044807,44.3374,61.2442
Kotpad,4.349099,4.2399,2.533588,48.924532,43.971343,85.8505,330.3285
Krishnaprasad,4.071533,5.850775,10.864969,58.566472,38.997559,0.6604,208.013
Kuanrmunda,4.048555,3.11604,3.804173,26.099242,34.507827,72.84230000000001,1071.9948
Kuchinda,4.224751,3.426186,5.104293,55.575923,54.05721,85.4169,174.6191
Kujang,3.904363,5.588343,1.701461,23.782459,18.252847,60.781,913.4083
Kukudakhandi,4.100555,4.261528,1.858412,18.1569,29.652003,60.8012,1065.7012
Kundura,4.336969,4.3103,1.73671,22.34131,44.357401,89.044,189.9278
Kusumi,4.069613,3.661913,6.045122,15.899644,63.937553,91.42670000000001,362.0517
Kutra,4.144323,3.284932,3.559174,19.880502,56.260863,88.7177,246.0265
Lahunipada,4.180297,3.026662,16.456324,29.291238,51.038794,54.7412,129.8215
Laikera,4.258027,3.618757,10.606875,24.436341,38.10223,92.24329999999999,158.6725
Lakhanpur,4.161944,3.825095,6.200746,16.557183,44.206974,33.4652,203.031
Lamtaput,4.269055,4.52388,2.349885,15.236623,36.570305,53.1744,125.626
Lanjigarh,4.197787,4.142116,6.853286,37.635865,43.756894,49.9827,137.4935
Lathikata,4.149326,3.197705,5.531829,23.970231,30.975305,66.7948,264.7136
Laxmipur,4.187223,5.233631,3.364048,7.38625,38.271515,41.1047,129.4884
Lephripada,4.225952,3.68742,3.793756,49.696999,54.015702,81.74040000000001,143.3827
Losingha,4.235862,3.821432,4.303949,23.57569,40.408367,84.31450000000001,479.0206
Madanpur Ramapur,4.226188,3.547562,11.162035,80.38917,104.308733,61.48630000000001,142.1471
Mahakalpada,3.708416,5.626834,3.97382,31.859841,25.297085,52.7144,539.3048
Mahanga,4.053735,4.588613,1.959069,21.803265,19.368681,94.07140000000001,939.5082
Malkangiri,4.146218,3.26529,1.772527,42.418965,42.198396,72.4366,183.6093
Maneswar,4.216252,3.690275,1.56238,31.222519,33.705506,71.4501,499.995
Marshaghai,4.043967,5.205067,2.550263,12.598089,26.009503,65.6312,754.8541
Mathili,4.095021,3.208148,3.041539,49.211154,49.252506,78.8097,184.6892
Merada,3.945044,4.339591,3.783697,39.425404,66.582206,99.0869,396.331
Mohana,4.129658,3.775576,4.140269,20.88118,52.164114,38.141799999999996,97.7246
Muniguda,4.16843,3.607454,9.904277,24.474881,48.433777,51.487899999999996,130.564
Muribahal,4.265752,3.716251,3.268825,44.805958,32.15771,90.0829,307.4346
Naktideul,4.153671,3.200983,11.071604,48.014202,82.827821,62.666999999999994,66.9959
Nandahandi,4.361178,4.600821,1.511025,9.327904,24.101362,88.0431,404.6789
Nandapur,4.09082,4.360172,2.19479,19.971874,33.519554,40.6922,143.6443
Narasinghpur,4.078241,2.956578,7.534109,28.6843,36.798585,46.8062,259.5534
Narayanapatna,3.989887,4.241511,2.48534,48.037578,64.409713,31.034499999999998,97.3753
Narla,4.258357,3.994431,3.158777,16.13641,51.942439,91.3377,247.9083
Naugaon,4.044719,5.344673,1.945582,65.789147,19.883741,77.6316,590.4777
Nawarangpur,4.375735,4.490249,2.760735,43.579037,42.982466,91.2173,429.7572
Nayagarh,4.083136,3.549842,4.868339,18.01401,26.694403,63.2694,548.8237
Niali,4.058222,5.096819,1.227546,46.053242,14.965706,79.7073,729.0181
Nilagiri,4.04059,4.136783,4.912293,38.368722,28.117685,76.4319,366.5542
Nimapara,4.062098,5.13372,0.453928,17.072561,19.093659,89.8706,655.0027
Nischintakoili,4.055614,4.909198,1.939178,35.958293,24.175475,67.23780000000001,803.275
Nuagada,4.14374,3.633583,4.232555,51.564743,61.474623,25.8939,95.6067
Nuagaon,4.189901,3.806065,4.464186,128.36052,81.342437,49.670199999999994,111.3601
Nuagaon,3.79957,3.288449,2.567947,20.438268,41.779153,82.9577,266.2078
Nuagaon,4.084701,3.355522,9.384183,34.952255,70.920589,74.1566,160.115
Nuapada,4.105929,4.403218,2.175617,45.940203,44.910626,75.7516,203.9247
Odagaon,4.076076,3.852958,6.147725,22.673781,71.005737,68.4058,356.235
Odapada,4.079087,3.637606,4.411938,12.536603,27.027883,79.7632,478.7529
Oupada,4.061194,4.03867,6.524569,34.64374,20.787721,73.3705,425.5152
Padmapur,4.170516,2.921176,2.593396,12.606966,37.594336,51.8987,183.0129
Padmapur (Rajabudasambar),4.104845,3.659744,3.219336,28.922653,34.684119,79.4786,208.5086
Paikmal,4.163565,3.710454,2.884309,64.061838,59.471763,78.05919999999999,177.188
Pallahara,4.174923,2.999762,16.811637,37.913904,45.639272,59.477999999999994,144.7185
Papadahandi,4.365048,4.734075,4.712354,16.72791,44.548595,92.566,249.6053
Paralakhemundi,3.7163,3.210035,2.80582,56.604161,44.938015,56.511100000000006,476.3892
Parjang,4.129497,3.297155,5.380383,9.898215,37.321848,82.2487,286.1555
Patana,4.170848,3.446074,9.006853,43.594865,78.401248,95.7565,285.9963
Patnagarh,4.256232,3.837562,3.389793,25.752855,35.452355,83.206,274.9117
Patrapur,3.710984,3.797245,4.453558,47.146778,43.22382,48.4593,277.7951
Pattamundai,4.042711,5.229705,2.381043,30.095149,18.79272,82.6268,760.3703
Phulbani,4.206002,4.12566,10.4584,33.792549,40.979485,54.879,173.1737
Pipili,4.062423,4.863131,0.360677,14.608795,19.950685,82.6802,743.7825
Podia,4.044401,3.42186,4.320903,72.698935,42.260245,67.61540000000001,118.0679
Polasara,4.095717,3.539786,6.758193,41.032872,70.461644,63.3333,480.7224
Potangi,3.514817,5.040954,2.159571,28.141046,40.802331,32.574999999999996,141.8431
Puintala,4.235967,4.010317,2.045235,6.520749,30.90156,92.0189,387.1639
Puri Sadar,3.956346,5.37998,0.544703,9.25603,19.064016,76.1706,1296.8875
Purusottampur,4.132416,4.447763,1.199053,13.023912,55.076667,61.0587,613.0933
R Udyagiri,4.086658,4.248013,4.634791,30.857619,35.178003,33.3146,110.438
Raghunathpur,4.051244,4.955977,1.392706,12.750252,23.139377,88.0,884.6534
Raighar,4.023571,4.998333,1.815798,130.432795,131.500779,98.2009,232.8244
Raikia,4.082734,3.526546,5.701475,72.743924,105.640473,41.6996,124.3577
Rairakhola,4.185209,3.365512,6.686824,18.514563,45.341376,78.152,77.9263
Rairangpur,3.937607,3.412033,3.003692,37.480603,42.156498,76.4811,259.6047
Rajagangapur,4.252089,3.172315,12.124675,24.924547,29.768174,76.6037,345.3821
Rajkanika,3.907921,5.228843,4.653177,72.087564,43.138186,76.6649,610.2427
Rajnagar,3.389676,5.56436,4.44913,62.61133,45.140425,46.5994,398.5759
Ramnaguda,4.123175,3.320923,1.409707,15.331395,75.442873,58.972100000000005,152.8127
Ranapur,4.063602,4.292358,13.593918,28.212502,60.649708,77.0633,356.3896
Rangeilunda,4.033451,5.117982,1.151092,28.067333,32.415344,71.96209999999999,2037.8071
Raruyan,3.505705,3.742283,7.393278,13.014027,63.449867,97.4992,278.7965
Rasgobindpur,4.009472,4.504299,4.506484,30.667968,39.382982,98.2337,495.7462
Rasulpur,4.083248,4.411086,2.633795,13.393936,13.679309,65.2261,766.1167
Rayagada,3.87374,3.477148,4.891426,72.895262,37.417311,28.065299999999997,159.6771
Rayagada,3.94059,3.773041,2.901592,26.61656,37.000613,34.5146,261.3881
Reamal,4.153379,3.119968,4.953729,36.343851,49.290739,67.5528,132.1533
Remuna,3.834129,4.755689,2.135048,11.573541,19.273023,88.98049999999999,735.006
Rengali,4.248523,3.725449,1.404394,20.525779,27.353433,71.3828,206.5743
Saharpada,4.188901,3.543245,10.600772,26.826451,54.704618,99.5241,280.2293
Saintala,4.249444,3.732061,4.873718,28.755362,37.532454,85.8394,228.7633
Salipur,4.062927,4.650082,1.639951,12.860476,16.425238,67.9967,907.285
Samakhunta,4.010202,3.376279,14.332454,67.577757,70.826108,51.5945,166.5738
