block_name,cluster
Agalpur,1
Ambabhana,3
Anandpur,3
Anugul,3
Aska,1
Astarang,2
Atabira,1
Athagarh,1
Atthamallik,3
Aul,0
Badagaon,1
Badamba,1
Badasahi,1
Bahalda,1
Bahanaga,2
Baleswar,0
Balianta,0
Baliapal,2
Baliguda,3
Balikuda,2
Balipatana,0
Balisankara,3
Banapur,3
Banarpal,1
Bandhugaon,2
Baneigarh,1
Bangiriposi,3
Bangomunda,1
Banki,1
Banspal,3
Baranga,0
Barchana,0
Bargarh,1
Bari,0
Baripada,0
Barkot,3
Barpali,1
Basta,0
Basudevpur,2
Begunia,0
Belapada,1
Bellaguntha,1
Betanati,1
Bhadrak,0
Bhandaripokhari,1
Bhanjanagar,3
Bhapur,1
Bhatali,1
Bhawanipatana,1
Bheden,1
Bhogarai,2
Bhuban,1
Bhubaneswar,0
Bijatala,1
Bijepur,1
Binika,1
Binjharpur,0
Biridi,0
Birmaharajpur,1
Bisamcuttack,1
Bisoi,1
Bisra,1
Boden,3
Boipariguda,1
Bolagarh,1
Bolangir,1
Bonth,1
Borigumma,1
Boudh,3
Brahmagiri,0
Buguda,3
Chakapad,3
Champua,1
Chandahandi,2
Chandbali,2
Chandrapur,3
Chhatrapur,0
Chhendipada,1
Chiketi,2
Chilika,0
Chitrakonda,3
Cuttack Sadar,0
Dabugaon,1
Dampada,1
Danagadi,1
Daringbadi,3
Dasamantapur,1
Dasapalla,3
Dasarathpur,0
Delanga,0
Deogan,1
Derabishi,0
Dhamanagar,0
Dhanakauda(Sadar),1
Dharakote,3
Dharmagarh,1
Dharmasala,0
Dhenkanal Sadar,1
Digapahandi,1
Dunguripali,1
Erasama,2
Firingia,3
G.Udayagiri,3
Gaisilat,1
Gania,3
Ganjam,0
Garadpur,0
Ghasipura,1
Ghatagaon,3
Golamunda,1
Gondia,1
Gop,0
Gopabandhunagar,1
Govindapur,1
Gudari,3
Gudvella,1
Gumma,3
Gunupur,3
Gurundia,3
Harbhanga,3
Harichandanpur,3
Hatadihi,1
Hemagiri,1
Hindol,1
Hinjilicut,0
Jagannathprasad,3
Jagatsinghpur,0
Jaipatna,1
Jajpur,0
Jaleswar,2
Jamankira,3
Jamuda,1
Jasipur,3
Jatani,0
Jeypore,1
Jharabandh,2
Jharigaon,1
Jharsuguda,1
Jhumpura,1
Joda,1
Jujumura,1
Junagarh,1
K.Singpur,3
Kabisuryanagar,1
Kakatpur,0
Kalampur,1
Kalimela,3
Kamakhyanagar,1
Kanas,0
Kaniha,1
Kankadahad,1
Kantamala,3
Kantapada,0
Kaptipada,3
Karanjia,3
Karlamunda,1
Kashipur,1
Kasinagar,3
Kendrapada,0
Keonjhar Sadar,1
Kesinga,1
Khaira,1
Khairput,1
Khajuripada,3
Khallikote,0
Khandapara,1
Khaprakhol,3
Khariar,1
Khunta,1
Khurda,0
Kirmira,1
Kishorenagar,1
Kodala(Beguniapada),1
Koira,3
Kokasara,1
Kolabira,1
Koliane,1
Kolnara,1
Komana,3
Koraput,1
Korei,0
Korkunda,1
Kosagumuda,1
Kotagarh,3
Kotpad,1
Krishnaprasad,3
Kuanrmunda,1
Kuchinda,1
Kujang,0
Kukudakhandi,0
Kundura,1
Kusumi,1
Kutra,1
Lahunipada,3
Laikera,1
Lakhanpur,3
Lamtaput,1
Lanjigarh,3
Lathikata,1
Laxmipur,1
Lephripada,1
Losingha,1
Madanpur Ramapur,3
Mahakalpada,2
Mahanga,0
Malkangiri,1
Maneswar,1
Marshaghai,0
Mathili,1
Merada,1
Mohana,3
Muniguda,3
Muribahal,1
Naktideul,3
Nandahandi,1
Nandapur,1
Narasinghpur,3
Narayanapatna,3
Narla,1
Naugaon,0
Nawarangpur,1
Nayagarh,1
Niali,0
Nilagiri,1
Nimapara,0
Nischintakoili,0
Nuagada,3
Nuagaon,3
Nuagaon,1
Nuagaon,3
Nuapada,1
Odagaon,3
Odapada,1
Oupada,1
Padmapur,1
Padmapur (Rajabudasambar),1
Paikmal,1
Pallahara,3
Papadahandi,1
Paralakhemundi,2
Parjang,1
Patana,3
Patnagarh,1
Patrapur,2
Pattamundai,0
Phulbani,3
Pipili,0
Podia,3
Polasara,3
Potangi,2
Puintala,1
Puri Sadar,0
Purusottampur,1
R Udyagiri,3
Raghunathpur,0
Raighar,3
Raikia,3
Rairakhola,1
Rairangpur,1
Rajagangapur,1
Rajkanika,2
Rajnagar,2
Ramnaguda,1
Ranapur,3
Rangeilunda,0
Raruyan,2
Rasgobindpur,1
Rasulpur,0
Rayagada,3
Rayagada,1
Reamal,1
Remuna,0
Rengali,1
Saharpada,1
Saintala,1
Salipur,0
Samakhunta,3
Sanakhemundi,1
Saraskana,2
Satyabadi,0
Semiliguda,1
Sheragada,1
Simulia,0
Sinapali,3
Sohela,1
Sonepur,1
Sorada,3
Soro,0
Subdega,1
Sukali,1
Sukinda,1
Suliapada,2
Sundargarh,1
Talchar,1
Tangarpali,1
Tangi,0
Tangi Choudwar,0
Tarava,1
Telkoi,3
Tentulikhunti,1
ThakurMunda,3
Thuamul Rampur,3
Tigiria,0
Tihidi,0
Tikabali,3
Tileibeni,3
Tiringa,3
Tirtol,0
Titilagarh,1
Tumudibandha,3
Tureikela,1
Udala,3
Ullunda,1
Umarkote,1
